frs_id,facility_name,facility_name_2,facility_name_3,total_releases_on-off-site_lbs,radius,total_persons,land_area,water_area,pop_density,minority_pop,households,housing_units,households_public_assistance,persons_below_poverty_level,white_pop,pct_wh,african_american_pop,pct_aa,hispanic_origin_pop,pct_hi,asian_pacific_islander_pop,pct_api,american_indian_pop,pct_ai,multiracial_pop,pct_mr,child_5_0_pop,minors_17_0_pop,adults_18_plus_pop,seniors_65_plus_pop,less_than_9th_grade_pop,grades_9_12_pop,high_school_diploma_pop,some_college_pop,bs_ba_more_pop,income_less_15k_house,pct_less_15k,income_15k_25k_house,pct_15k_25k,income_25k_50k_house,pct_25k_50k,income_50k_75k_house,pct_50k_75k,income_greater_75k_house,pct_greater_75k,acs_pop,city_name,county_name,state,tri_facility_id,latitude,longitude,latitude_2,longitude_2
110000367175,MERICHEM CO,MERICHEM CO,"MERICHEM CO.2701 WARRIOR RD, TUSCALOOSA ALABAMA 35404 (TUSCALOOSA)",2524,3,14876,25.991,1.866,572.36,6363,5381,5902,104,5747,8804,0.5918,5080,0.3415,771,0.0518,316,0.0212,46,0.0031,630,0.0424,1036,4034,10843,1461,460,865,2564,1799,3307,975,0.1812,567,0.1054,1077,0.2001,894,0.1661,1666,0.3096,14627,TUSCALOOSA,TUSCALOOSA,AL,35404MRCHMONEWA,33.24862,-87.47736,33.246,-87.479
110000367175,MERICHEM CO,MERICHEM CO,"MERICHEM CO.2701 WARRIOR RD, TUSCALOOSA ALABAMA 35404 (TUSCALOOSA)",2524,1,1221,2.8838,0.2092,423.47,639,448,512,16,634,609,0.4988,527,0.4316,78,0.0639,22,0.018,8,0.0066,55,0.045,93,335,887,122,59,101,293,126,188,156,0.3482,44,0.0982,99,0.221,97,0.2165,81,0.1808,1303,TUSCALOOSA,TUSCALOOSA,AL,35404MRCHMONEWA,33.24862,-87.47736,33.246,-87.479
110000374087,VALERO REFINING CO - TENNESSEE LLC,VALERO REFINING CO - TENNESSEE LLC,"VALERO REFINING CO - TENNESSEE LLC.2385 RIVERPORT ROAD, MEMPHIS TENNESSEE 38109 (SHELBY)",587304.26,1,1607,2.7665,0.3342,580.83,1604,625,774,14,1101,3,0.0019,1589,0.9888,6,0.0037,0,0,1,6.0E-4,14,0.0087,107,381,1226,272,152,234,334,151,80,272,0.4352,141,0.2256,98,0.1568,31,0.0496,19,0.0304,1355,MEMPHIS,SHELBY,TN,38109MPCPT543WE,35.085843,-90.083385,35.086,-90.083
110000374087,VALERO REFINING CO - TENNESSEE LLC,VALERO REFINING CO - TENNESSEE LLC,"VALERO REFINING CO - TENNESSEE LLC.2385 RIVERPORT ROAD, MEMPHIS TENNESSEE 38109 (SHELBY)",587304.26,3,28159,26.1733,2.5371,1075.86,27908,10415,12829,797,21111,279,0.0099,27496,0.9765,220,0.0078,20,7.0E-4,64,0.0023,300,0.0107,1919,7431,20728,4494,1809,4535,6767,4073,1235,3658,0.3512,2360,0.2266,2936,0.2819,932,0.0895,632,0.0607,29654,MEMPHIS,SHELBY,TN,38109MPCPT543WE,35.085843,-90.083385,35.086,-90.083
110000376575,ERGON REFINING INC,ERGON REFINING INC,"ERGON REFINING INC.2611 HAINING RD, VICKSBURG MISSISSIPPI 39183 (WARREN)",1001092,1,1,2.8561,0.3894,0.25,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,VICKSBURG,WARREN,MS,39181RGNRFPOBOX,32.388612,-90.905524,32.389,-90.906
110000376575,ERGON REFINING INC,ERGON REFINING INC,"ERGON REFINING INC.2611 HAINING RD, VICKSBURG MISSISSIPPI 39183 (WARREN)",1001092,3,2161,25.265,2.3527,85.55,1943,851,1046,4,1424,220,0.1018,1917,0.8871,22,0.0102,6,0.0028,1,5.0E-4,17,0.0079,204,636,1525,233,81,239,318,268,212,336,0.3948,189,0.2221,133,0.1563,33,0.0388,79,0.0928,1987,VICKSBURG,WARREN,MS,39181RGNRFPOBOX,32.388612,-90.905524,32.389,-90.906
110000377477,CHEVRON PRODUCTS CO PASCAGOULA REFINERY,CHEVRON PRODUCTS CO PASCAGOULA REFINERY,"CHEVRON PRODUCTS CO PASCAGOULA REFINERY.250 IND US TRIAL RD, PASCAGOULA MISSISSIPPI 39581 (JACKSON)",1620968.5,1,0,2.6835,0.2987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASCAGOULA,JACKSON,MS,39567CHVRNPOBOX,30.343733,-88.4938,30.344,-88.494
110000377477,CHEVRON PRODUCTS CO PASCAGOULA REFINERY,CHEVRON PRODUCTS CO PASCAGOULA REFINERY,"CHEVRON PRODUCTS CO PASCAGOULA REFINERY.250 IND US TRIAL RD, PASCAGOULA MISSISSIPPI 39581 (JACKSON)",1620968.5,5,31929,40.2442,37.2955,793.39,18507,12085,14434,497,14844,14451,0.4526,15337,0.4803,2647,0.0829,274,0.0086,88,0.0028,1779,0.0557,2305,7980,23950,4090,1204,2642,7539,6692,3171,2528,0.2092,1718,0.1422,3555,0.2942,2116,0.1751,2207,0.1826,31535,PASCAGOULA,JACKSON,MS,39567CHVRNPOBOX,30.343733,-88.4938,30.344,-88.494
110000377477,CHEVRON PRODUCTS CO PASCAGOULA REFINERY,CHEVRON PRODUCTS CO PASCAGOULA REFINERY,"CHEVRON PRODUCTS CO PASCAGOULA REFINERY.250 IND US TRIAL RD, PASCAGOULA MISSISSIPPI 39581 (JACKSON)",1620968.5,3,13962,18.2621,8.2201,764.53,6547,5222,6360,238,5766,8151,0.5838,4363,0.3125,1933,0.1384,206,0.0148,34,0.0024,1208,0.0865,1103,3825,10137,1517,499,769,2904,2648,1724,947,0.1813,646,0.1237,1286,0.2463,1166,0.2233,1145,0.2193,13739,PASCAGOULA,JACKSON,MS,39567CHVRNPOBOX,30.343733,-88.4938,30.344,-88.494
110000381113,CONTINENTAL REFINING CO LLC,CONTINENTAL REFINING CO LLC,"CONTINENTAL REFINING CO LLC.501 REFINERY RD, SOMERSET KENTUCKY 42501 (PULASKI)",6080,3,17877,28.2383,0.1728,633.07,1431,7562,8543,270,7706,16734,0.9361,480,0.0269,536,0.03,156,0.0087,32,0.0018,476,0.0266,1151,3800,14077,3281,1477,1328,4136,3482,2041,2044,0.2703,1309,0.1731,2069,0.2736,993,0.1313,1273,0.1683,17038,SOMERSET,PULASKI,KY,42501THSMR501RE,37.0716,-84.6092,37.072,-84.609
110000381113,CONTINENTAL REFINING CO LLC,CONTINENTAL REFINING CO LLC,"CONTINENTAL REFINING CO LLC.501 REFINERY RD, SOMERSET KENTUCKY 42501 (PULASKI)",6080,5,31415,74.8887,3.9578,419.48,2184,12996,14719,359,13467,29726,0.9462,599,0.0191,906,0.0288,238,0.0076,67,0.0021,784,0.025,1993,7045,24370,5367,2606,2400,7376,5783,3728,3346,0.2575,2013,0.1549,3619,0.2785,1717,0.1321,2525,0.1943,30411,SOMERSET,PULASKI,KY,42501THSMR501RE,37.0716,-84.6092,37.072,-84.609
110000381113,CONTINENTAL REFINING CO LLC,CONTINENTAL REFINING CO LLC,"CONTINENTAL REFINING CO LLC.501 REFINERY RD, SOMERSET KENTUCKY 42501 (PULASKI)",6080,1,3054,3.1673,0.0038,964.2,370,1274,1414,53,1626,2765,0.9054,154,0.0504,124,0.0406,24,0.0079,12,0.0039,99,0.0324,241,679,2375,564,397,275,799,458,232,424,0.3328,275,0.2159,288,0.2261,150,0.1177,117,0.0918,2757,SOMERSET,PULASKI,KY,42501THSMR501RE,37.0716,-84.6092,37.072,-84.609
