frs_id, RADIUS_OF_AREA, CENTER_LATITUDE, CENTER_LONGITUDE, TOTAL_PERSONS, LAND_AREA, WATER_AREA, POPULATION_DENSITY, MINORITY_POPULATION, HOUSEHOLDS, HOUSING_UNITS, HOUSEHOLDS_PUBLIC_ASSISTANCE, PERSONS_BELOW_POVERTY_LEVEL, WHITE_POPULATION,pct_wh, AFRICAN_AMERICAN_POPULATION,pct_aa, HISPANIC_ORIGIN_POPULATION,pct_hi, ASIAN_PACIFIC_ISLANDER_POP,pct_api, AMERICAN_INDIAN_POPULATION,pct_ai, OTHER_MULTIRACIAL_POPULATION,pct_mr, CHILD_5_0_POPULATION, MINORS_17_0_POPULATION, ADULTS_18_PLUS_POPULATION, SENIORS_65_PLUS_POPULATION, LESS_THAN_9TH_GRADE_POPULATION, GRADES_9_12_POPULATION, HIGH_SCHOOL_DIPLOMA_POPULATION, SOME_COLLEGE_POPULATION, BS_BA_OR_MORE_POPULATION, INCOME_LESS_15K_HSHLDS,pct_less_15k, INCOME_15K_25K_HSHLDS,pct_15k_25k, INCOME_25K_50K_HSHLDS,pct_25k_50k, INCOME_50K_75K_HSHLDS,pct_50k_75k, INCOME_GREATER_75K_HSHLDS,pct_greater_75k, ACS_POPULATION
110041977162,1,61.083809,-146.250842,0,0.7049,1.3971,0,0,0,0,0,0,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0,0,0,0,0,0,0,0,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0
110041990913,1,30.065833,-94.071388,1190,2.7922,0.4317,426.33,1155,462,530,44,1029,61,0.0513,1079,0.9067,66,0.0555,6,0.0050,5,0.0042,39,0.0328,71,288,903,187,68,161,339,211,53,223,0.4827,121,0.2619,108,0.2338,34,0.0736,52,0.1126,1374
110041990913,5,30.065833,-94.071388,62606,69.5303,9.2287,900.41,48258,21835,24928,499,32081,17903,0.2860,35296,0.5638,11000,0.1757,1293,0.0207,416,0.0066,7697,0.1229,4507,15199,47407,7034,3890,5848,13456,10117,4321,5257,0.2408,3679,0.1685,6130,0.2807,2715,0.1243,3416,0.1564,57019
110041990913,3,30.065833,-94.071388,28800,23.2323,4.6612,1239.65,25505,10028,11506,217,16799,5341,0.1855,17973,0.6241,6225,0.2161,977,0.0339,257,0.0089,4253,0.1477,1972,7088,21712,3042,2042,2684,5605,3978,1356,2761,0.2753,1870,0.1865,2875,0.2867,1262,0.1258,926,0.0923,26081
110042005843,1,35.703056,-101.36305,0,3.0884,0.0641,0,0,0,0,0,0,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0,0,0,0,0,0,0,0,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0
110042005843,5,35.703056,-101.36305,11000,78.2471,0.1582,140.58,4187,4319,5162,53,4477,8688,0.7898,443,0.0403,3398,0.3089,49,0.0045,191,0.0174,1629,0.1481,884,3119,7881,1557,663,796,2485,2124,733,779,0.1804,529,0.1225,1462,0.3385,707,0.1637,798,0.1848,10983
110042005843,3,35.703056,-101.36305,6145,28.1409,0.1025,218.35,2925,2384,2920,31,2987,4503,0.7328,357,0.0581,2401,0.3907,19,0.0031,92,0.0150,1173,0.1909,551,1832,4312,767,430,422,1373,1042,265,521,0.2185,313,0.1313,761,0.3192,393,0.1648,341,0.1430,6000
110042054317,3,31.186567,-89.409232,3100,28.1502,0.1153,110.13,255,1143,1261,26,960,2878,0.9284,173,0.0558,51,0.0165,3,0.0010,11,0.0035,36,0.0116,228,809,2291,351,113,215,479,733,294,245,0.2143,137,0.1199,214,0.1872,81,0.0709,376,0.3290,2711
110042054317,1,31.186567,-89.409232,167,2.9401,0.0264,56.77,17,68,73,1,51,151,0.9042,16,0.0958,1,0.0060,0,0.0000,0,0.0000,0,0.0000,8,49,118,17,4,12,24,36,12,13,0.1912,7,0.1029,10,0.1471,3,0.0441,18,0.2647,128
110042054317,5,31.186567,-89.409232,8803,78.1877,0.3641,112.58,1319,3259,3541,48,2531,7597,0.8630,1026,0.1166,168,0.0191,46,0.0052,24,0.0027,110,0.0125,665,2355,6447,1000,239,552,1402,1855,1064,482,0.1479,354,0.1086,676,0.2074,404,0.1240,1088,0.3338,7985
110042061238,1,31.768889,-106.401667,8613,3.0457,0.094,2827.99,8367,2909,3101,306,5646,7285,0.8458,66,0.0077,8292,0.9627,19,0.0022,53,0.0062,1191,0.1383,642,2334,6280,1544,1595,755,1425,1054,386,878,0.3018,752,0.2585,901,0.3097,315,0.1083,138,0.0474,8354
110042061238,5,31.768889,-106.401667,214916,57.8456,0.3334,3715.34,190422,72877,76985,4966,124153,176799,0.8226,6043,0.0281,182308,0.8483,1493,0.0069,1618,0.0075,28963,0.1348,16125,56858,158058,32840,30127,14882,32426,33852,19081,18980,0.2604,13060,0.1792,20209,0.2773,9822,0.1348,8782,0.1205,206034
110042061238,3,31.768889,-106.401667,82485,23.1365,0.2346,3565.13,74025,28795,30388,1913,46597,67961,0.8239,2126,0.0258,71020,0.8610,708,0.0086,539,0.0065,11151,0.1352,5818,20656,61829,13767,11313,5855,13468,13074,7703,7144,0.2481,5144,0.1786,8259,0.2868,3894,0.1352,3439,0.1194,80399
110042255234,3,43.020278,-105.274444,3,27.5187,0.0163,0.09,0,1,1,0,0,3,1.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,1,2,0,0,0,1,0,0,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,2
110042255234,1,43.020278,-105.274444,0,0.4485,0,0,0,0,0,0,0,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0,0,0,0,0,0,0,0,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0
110043804185,1,30.484917,-91.17392,3890,3.1523,0,1233.88,3773,1368,1572,31,2689,120,0.0308,3724,0.9573,33,0.0085,4,0.0010,8,0.0021,33,0.0085,328,1171,2719,338,93,521,815,439,80,483,0.3531,227,0.1659,363,0.2654,131,0.0958,65,0.0475,3621
110043804185,3,30.484917,-91.17392,59493,25.4861,2.6413,2334.31,54539,21863,24565,498,38763,5186,0.0872,53346,0.8967,633,0.0106,158,0.0027,100,0.0017,702,0.0118,4464,16387,43106,6028,2681,6747,12691,8271,4476,6276,0.2871,4400,0.2013,6133,0.2805,2812,0.1286,1806,0.0826,59183
110043806085,1,45.77975,-108.49387,5844,3.1149,0.119,1876.06,1993,2519,2792,157,3932,4251,0.7274,118,0.0202,826,0.1413,49,0.0084,854,0.1461,572,0.0979,408,1118,4726,544,303,420,1753,1412,590,889,0.3529,583,0.2314,691,0.2743,184,0.0730,184,0.0730,5473
110043806085,3,45.77975,-108.49387,47309,27.8027,0.7491,1701.58,8422,20452,21644,913,18439,40593,0.8580,477,0.0101,3474,0.0734,334,0.0071,3122,0.0660,2782,0.0588,3363,10316,36992,5612,1182,2273,10137,10124,8355,3410,0.1667,3185,0.1557,6491,0.3174,3372,0.1649,4131,0.2020,46202
110043813816,1,44.850583,-93.002139,2912,2.5552,0.5809,1139.78,562,1121,1206,24,647,2487,0.8541,88,0.0302,272,0.0934,129,0.0443,18,0.0062,191,0.0656,224,729,2184,266,59,149,703,576,358,97,0.0865,86,0.0767,270,0.2409,242,0.2159,387,0.3452,2726
110043813816,3,44.850583,-93.002139,48279,25.7642,2.3236,1873.87,9013,18650,19521,535,9456,41242,0.8542,1929,0.0400,3877,0.0803,2095,0.0434,233,0.0048,2780,0.0576,3335,12111,36168,5795,820,1663,9794,10941,7958,1205,0.0646,1130,0.0606,4366,0.2341,4170,0.2236,7408,0.3972,46732
